name,gender
Gabriel Macaya Trejos y Pedro León Azofeifa,M
José Ernesto Picado Ovares,M
Sandra Araya Umaña,F
Karol Ramírez Chinchilla,F
Mauricio Ramírez Núñez,M
Yanis Varoufakis,M
Christian Hess Araya,M
Marco Feoli,M
Roseling Farias,F
César García Machado,M
Natalia Díaz Quintana,F
Pinelopi Koujianou Goldberg,F
David Arimoto Tames,M
Gerardo Huertas Angulo,M
Roberto Brenes Zúñiga,M
Marlene Steuber,F
Marco Orellana Gutiérrez,M
José Mario Quesada Solano,M
Iván Molina Jiménez,M
Ph. D. Saúl Calderón Ramírez,M
Rolando Portilla Pastor,M
Sofía Barquero Mata,F
Wellington Arguedas Rodríguez,M
Karla Córdoba Brenes,F
Sandra Sosa Cárcamo,F
Desmond Lachman,M
Ricardo Millán,M
Eduardo A. Castillo Rojas,M
Leonardo Morales Castro,M
Manuel Alberto Vargas Pérez. ,M
Mario E. Araya Quirós,M
Fernando Quesada V.,M
Mario Rucavado Rodríguez,M
Mauricio Herrera Ulloa,M
Gaston Browne,M
Cecilia Cortés,F
Guillermo Calderón Torres,M
Guillermo Rojas Guzmán,M
Nicolas Valverde Araya,M
Mery Quirós,F
Juan Carlos Mora-Montero,M
José Manuel Morera Cabezas,M
Marco Pacheco,M
José Pablo Montoya Dobles,M
Juan Ignacio Marín,M
Pablo Duarte,M
Rabah Arezki,M
Gabriela de San Román Aguilar,F
Jurgen Ureña,M
Catalina Murillo,F
Alfredo Echeverría M.,M
Daniel Rodríguez Maffioli,M
Gerardo Acosta H.,M
Joyce Zurcher B.,F
J. Federico Campos Calderón,M
Elizabeth Segura Díaz,F
Marco Durante,M
Elian Villegas Valverde,M
Antonio Figueres Obando,M
Luis Liberman y Daniel Ortiz,M
Alejandro Zamora Esquivel,M
Luz María Chacón,F
Erick Roberto Rojas Robles,M
Carlos Rubio,M
Alberto Colella,M
Víctor Manuel Mora Mesén,M
María Pía Robles,F
Rafael León Hernández,M
Roselyn Valerín Ramírez,F
María Fernanda Morales Cabalceta,F
Ing. Porfirio Quesada Gätjens,M
Marcela Muñoz,F
Rebeca Alfaro Hernández,F
María Isabel Araya Díaz,F
Francisco Álvarez,M
Bayardo Quinto Núñez,M
Redacción Universidad,X
Derecho de respuesta,X
Eduardo Méndez Vásquez,M
Jorge Arturo González,M
César Machado Garcia,M
Max Sequeira Cascante,M
AFP,X
Milena A. Solís Chavarría,F
Dr. Carlos Araya Leandro,M
Manuel Hernández,M
Germán Salas Mayorga,M
Juan Carlos Feoli Aubert,M
Estíbaliz Pérez Pérez,F
Daniel Bloemers Wolf,M
Lenin Corrales,M
Fernando Castillo V.,M
Kattia Martin Cañas,F
Juan Diego Rojas,M
"Fernando Morales Martínez, Carlos Murillo Zamora, Agustín Gómez Meléndez y Emiliana Rivera Meza",CF
Bertrand Badré  y Thomas Crampton,M
Andrés  Fernández Arauz,M
Juan Luis  Bermúdez Madriz,M
Carlos Soto Campos,M
Yolanda Bertozzi,F
Edoardo Campanella,M
Adriano Arguedas Mohs,M
Alberto Morales Bejarano,M
Arnoldo Castillo,M
Damián Arroyo C.,M
David Eladio Barquero Álvarez,M
Josué Sánchez,M
Hermann Güendel,M
Gerardo Fumero Paniagua,M
Daniel Pérez Salazar,M
"Patricia Fumero, Ph.D.",F
Joseph Flores Sáenz,M
Francisco Morera,M
Georgina Díaz,F
Dorella Barahona,F
Alejandro Guido Gómez,M
Sol Echeverría Hine,F
Arnoldo Mora,M
Jessica Dickinson y Ezequiel Passeron Kitroser,CF
Joseph Alfonso Rivera Cheves,M
Victor Brenes,M
Ricardo Monge González,M
Marco Antonio Pérez Molina,M
Carlos Alberto Rodríguez Ramírez,M
John Brenes Rodríguez,M
Marco Esteban Arias,M
Esteban Zamora Morales,M
Ariana Fernández,F
Mario Jaubert,M
Edgar Chavarría Solano,M
Víctor Orozco Solano,M
María Adelaida Viana García,F
Victor Farulla,M
Katherine Arroyo Arce,F
Esteban Mora Cordero y Luis Bermúdez Guzmán,M
Teo Mezger,M
Yanni Sterloff,M
Randall Cordero Sandí,M
Michele Gelfand,F
Carolina Palma,F
Duyaner Salas Chaverri,M
Marcia Aguiluz Soto,F
Karla Chaves Brenes,F
Keilor Rojas Jiménez,M
Ifeanyi M. Nsofor,M
Kattia Rivera,F
Luis Gabriel Castro,M
José Daniel Rodríguez Arrieta,M
Laura Ramírez Saborío,F
German Morales,M
Arturo Fournier,M
Shamika Sirimanne y Xiaolan Fu,CF
Yanory Rojas Morales,F
Cristhian Monge Arce,M
Martín Guzmán,M
María Flórez-Estrada Pimentel,F
Kaushik Basu,M
Marcelo Calvo Martín,M
Marlon Alfaro Cordero,M
Blas Dotta,M
Emanuel Jiménez Carvajal,M
Mariamalia Cob Delgado,F
Isabel Román,F
Julio Argüello-Méndez,M
Sergio Gutiérrez Scorza,M
Jenny Torres,F
Ana Catalina Arroyo Sánchez,F
Raúl Rodríguez Cortés para La Nación,M
Albino Vargas Barrantes,M
Jorge Enriquez para La Nación,M
Alexandra Bellayer-Roille,F
José Adrián Solano A.,M
Ing. Erick Sandoval Corrales,M
José Alfredo Calderón Gómez,M
Oscar Romero Sánchez,M
Otto Vargas Masís,M
Alexander Leicht,M
Édgar Mora Altamirano,M
Paulina Ramírez Portuguez,F
Linda de Donder,F
Fernando Francia,M
Harold Villegas-Román,M
María Fernanda Soto Quesada,F
Brayam André Muñoz Fernández,M
Johanna Gómez Frittella,F
Josh Landon,M
Esteban Valverde Esquivel & Ericka Cerdas Solano,CF
Emilia Gazel,F
Tania Molina Rojas,F
Dra. Ilka Treminio Sánchez,F
Néstor Morera Víquez,M
Esteban Oviedo,M
Jordan U. Dondi,M
Dina Krauskopf y Ana Lorena Rojas,CF
Edgardo Piedra Garita,M
Rodrigo Bolaños Zamora,M
Ottón Solís,M
Joschka Fischer,M
Miguel Rojas Chaves,M
Dyalá Jiménez Figueres,F
Gloriana Ivankovich Escoto,F
Esteban J. Chaves,M
Álvaro Salas Chaves,M
Rafael Ángel Guillén Elizondo,M
José Rafael González,M
Luis Liberman,M
Timothy Radcliffe,M
Jorge Méndez,M
"Albino Vargas Barrantes,",M
Dr. Walther González B. Ph.D.,M
Rodrigo Alberto Campos Hidalgo,M
Manuel Vargas Pérez,M
Alberto Cortés Ramos,M
Edgard A. Blanco,M
Ricardo López Granados,M
Eleonora Badilla Saxe,F
Patricia Rojas Morales,F
Ricardo Trujillo Molina,M
Oscar Fernández Venegas,M
Dra. María Amalia Matamoros,F
Alexia Ugalde Quesada,F
Bach. Ruth Elena Sánchez,F
Msc. Rodrigo Alberto Campos Hidalgo,M
Joseph E. Stiglitz y Martín Guzmán,M
Gustavo Adolfo Jiménez Monge,M
Jesús Bedoya Ureña,M
Sergio Castillo Quesada,M
Carolina Gölcher,F
Óscar Morera Herrera,M
Ericka Mayela Ugalde Alvarado,F
Galit Flasterstein G.,F
Darner A. Mora,M
María Isabel Solís Ramírez,F
Leda Acevedo Zúñiga,F
Stephanie Fallas Navarro,F
Carlos Araya Leandro,M
Alejandro Vargas Johansson,M
Ted Danson,M
Tetiana Ogarkova,F
Juan Ramón Rojas,M
Gina Cuza Jones,F
Larissa Fernández,F
Dario Segura Picado y Christopher Salas Villalobos,F
Andrea Arroyo Mora,F
Víctor Umaña,M
Rafael Rodríguez,M
Óscar Jiménez Ramírez & Sergio Mora Castro,M
Roberto Protti,M
Rafael Rodríguez Salazar,M
Rita Maria El Zaghloul,F
Lenin Corrales Chaves,M
Juan José  Romero Zúñiga,M
Ferdinand von Herold,M
Ovidio Muñoz Corrales,M
Carlos Gallegos,M
Jaime Morera Monge,M
Marco Rodríguez Ramírez,M
Diego Montero Hernández,M
Oriana Lorthe Cordero,F
Manuel Otero y Cynthia Rosenzweig,CF
Nydia Amador Brenes,F
Luis Felipe Arauz Cavallini,M
Ignacio González Piedra,M
Mauricio Álvarez Mora,M
Marco Esquivel Salas,M
Laura Martínez Quesada,F
Richard Haass,M
Juan Carlos Durán Castro,M
Andrea Cordero Vargas,F
José Luis Vargas Chacón,M
Víctor Fung,M
Mark Lewis,M
John Mario González,M
Jaime Robert,M
Angélica Vega Hernández,F
Rafael A. Ugalde Q.,M
Lhiam Vega Umaña,M
Paola Sánchez,F
Lourdes Serrano Delgado,F
Osvaldo Durán-Castro,M
Jose Pablo Porras Monge,M
Emily Reyes Ramírez,F
Paul Fervoy,M
Andrés Gutiérrez Montoya,M
Wady Cerdas Tenorio,M
Esteban Marín,M
Óscar Arias Moreira,M
Dra. Mónica Arias Monge,F
Walter Montes,M
Isaac Montero Solera,M
Dra. Gabriela Arguedas Ramírez.,F
Gerardo Rojas Segura,M
Marilú Rodríguez Araya,F
Lía Mayela Anchía Angulo,F
Guillermo Álvarez Martínez,M
"Dr. Oscar Mena Redondo, CATEDRÁTICO UCR-UNED y M.Sc.José Alfredo Calderón, Geógrafo y 10 profesionales más",M
"Mauricio Álvarez Mora,",M
Roberto Leiva,M
Dr. Francisco Guevara Quiel,M
Guillermo A. Brenes Tencio,M
Manuel Sandoval,M
Rodolfo Fuentes,M
Mónica Volio Orozco,F
Adrián Mora,M
Mauricio Bolaños Barrantes,M
Andrés J. Chaves Huertas,M
Ana Lucía Fonseca Ramírez,F
Nouriel Roubini,M
Pedro J. Solís,M
Jimmy Bolaños González,M
Lizette Brenes Bonilla ,F
Juan Carlos Sebiani Serrano,M
Rocio Quirós Gómez,F
Priscilla Mora Hidalgo,F
Antonio Ortega Gutiérrez,M
Felipe Guevara Leandro,M
Luis Felipe Arauz,M
Oscar Valverde Cerros,M
Mujeres embajadoras ante la OEA,X
Guido Mora,M
Óscar Mario Jiménez Alvarado,M
Susana Jiménez Sánchez,F
Emilio Zevallos Vallejos,M
Tonatiuh Solano Herrera,M
Natalia Suárez Calderón,F
Dylanna Rodríguez Muñoz,F
Dr. Eric Briones Briones,M
Damaris Madrigal López,F
Alejandro Machado García,M
ML/MSc. Dimitri Shiltagh Prada,M
Franco Mainieri Murillo,M
Leonardo Garnier,M
Mario Uriel Santos Castillo ,M
Christopher Stephenson Peñaranda,M
Ronald Castro Fernández,M
Luis Gamboa A.,M
José Pablo Rodríguez,M
Fernando Gutiérrez,M
Alejandro Ross Muñoz,M
Augusto Manzanal Ciancaglini,M
Gerardo Antonio Quirós Venegas,M
Pablo García Monge,M
Elizabeth Fonseca,F
Marco Pérez Molina,M
Alejandro Badilla,M
Christian Rivera,M
Mujeres por Costa Rica,X
Miguel Gutiérrez,M
Antonio Trejos Mazariegos,M
Paul De Grauwe,M
"Alejandro Solís, ingeniero forestal",M
Ricardo Millán González,M
Ana Sáenz Gammans,F
Fernando Morales Martínez,M
Josué Aguirre Thomas,M
Carlos Tiffer,M
Jorge Blanco Roldán,M
Junta Directiva Central SINDEU.,X
Varios miembros de la comunidad universitaria,X
Kristel Sancho Bermúdez,F
Organizaciones internacionales de adolescencia,X
Karen Marín Argüello,F
Amin Majchel,M
Otto Silezky Agüero,M
Cristina  Eguizabal,F
Rodney Salazar,M
Jorge Eduardo Sánchez Sibaja,M
Omar J. Ureña Soto,M
Rodrigo Bernardo Ortega ,M
Nogui Acosta Jaén,M
Paula Umaña & Diana Hernández,CF
Luis Morice,M
Sofía Granados Quesada y otras personas más,CF
Dra. Yamileth González García,F
Arturo Carballo Madrigal ,M
Jorge G. Castañeda,M
Yolanda Bertozzi Barrantes,F
Vanessa Badré,F
Fabián Marrero Soto,M
Alberto Rojas Rojas,M
Luis Rosero Bixby,M
Tracy Francis y Francisco Ortega,CF
Fernán Orlich Rojas,M
Fernando Castillo Víquez,M
Soledad Rojas Rodríguez,F
Alise Rojas,F
Juan Luis Zúñiga,M
Andrés Alberto Retana Vargas,M
Yanni  Sterloff,M
Mauricio A. Rodríguez Hernández,M
Diego Hidalgo Leiva,M
Ronald Castro Chaverri,M
Sra. Wang Xiaoyao,F
Lía Anchía Angulo,F
Adriana Fernández Calderón,F
Sergio Mora Castro,M
Rafael A. Rodríguez Salazar,M
Indermit Gill,M
Verónica Gutiérrez,F
Yolanda Bertozzi y 145 firmas más,F
Francisco Salas Chaves,M
Álvaro Rodríguez Echeverría,M
Olga Sedó,F
Ricardo Hausmann,M
Jorge Dengo Rosabal,M
Peter G. Kirchschläger,M
Joyce Zürcher B.,F
Robinson Rodríguez Herrera,M
William Rodríguez López,M
Jesús Bonilla Freer,M
Somos Voz,X
Dra. Natalia Solano-Meza,F
Rosaura Chinchilla Calderón,F
Yeikol Alberto Zúñiga Vargas,M
Ronald G. Hernández Campos,M
Víctor Valembois,M
Rolando Esquivel Mata,M
Luis F. Arias Acuña,M
Juan José Romero,M
Luis D Nunez,M
Emily Madrigal Guzmán,F
Gian Carlo Sandoval Mazzero,M
